"observacion","modelo","c","d","sigma","mu","f","g","h","n","t_0"
"138_235","step","NA","NA","NA","NA","43.4282039986","-0.000763395497779","-26.617105672","-43.6446866323","-34.6511025824"
"139_235","step","NA","NA","NA","NA","67.3191869788","-0.000914535079807","-8.98171465664","94.384638155","64.4514064996"
"140_235","step","NA","NA","NA","NA","80.2527714777","-0.079526399949","10.0036358265","-6.18101527121","11.1783653155"
"141_235","gauss","101.548810106","-0.109122217732","-6.15885476696","37.8381627225","NA","NA","NA","NA","NA"
"142_235","step","NA","NA","NA","NA","114.227696703","-0.102044106733","-4.43512066265","-27.799046569","2.25597796517"
"143_235","step","NA","NA","NA","NA","89.9059568237","-0.07808258981","15.0453976608","95.0688873755","89.4197638313"
"144_235","step","NA","NA","NA","NA","88.6691598315","0.031954359475","-42.4259069724","-10.8773102482","-3.01457277994"
"145_235","gauss","77.3828957725","0.0432760007892","1.47959943586","49.5071189489","NA","NA","NA","NA","NA"
"146_235","step","NA","NA","NA","NA","82.2496834514","0.0118251844586","11.40067568","-23.1167064376","14.8017919113"
"147_235","gauss","98.297701603","-0.0452734653866","3.09641350929","-88.5411224157","NA","NA","NA","NA","NA"
"138_236","step","NA","NA","NA","NA","36.8073351924","0.0156449361246","-2.41648386343","23.3519748506","33.7195040042"
"139_236","step","NA","NA","NA","NA","51.8304191726","-0.00868263372793","-4.13034486698","60.9101529267","67.9821795906"
"140_236","gauss","71.3572881321","-0.076804497222","-3.02225034583","65.1161164085","NA","NA","NA","NA","NA"
"141_236","step","NA","NA","NA","NA","114.202041539","-0.121730966872","-8.70544463486","35.4954658235","43.9972291707"
"142_236","step","NA","NA","NA","NA","118.43584222","-0.1521660312","2.33388047027","13.8766069569","24.2000681837"
"143_236","step","NA","NA","NA","NA","132.990468649","-0.127301720718","-9.23349338635","-9.05325294481","11.7929310315"
"144_236","step","NA","NA","NA","NA","112.494973966","-0.0127479169128","-10.1130161811","-34.1451472021","-28.7360267948"
"145_236","step","NA","NA","NA","NA","88.1766503587","0.0594927922208","2.60728894623","-12.9757650291","2.12332270338"
"146_236","gauss","82.5869100871","0.0532668580842","-5.63894289036","-46.2659596752","NA","NA","NA","NA","NA"
"147_236","step","NA","NA","NA","NA","105.555207761","0.005058980095","-7.31067260447","4.52374801925","33.2106549949"
"138_237","step","NA","NA","NA","NA","22.1861419247","0.0046041616953","2.18327990341","41.2506094571","32.0203515569"
"139_237","step","NA","NA","NA","NA","36.2090264029","-0.0120295421977","-40.3427235352","-42.0430386185","-49.0878140682"
"140_237","gauss","58.9309041159","-0.064521965828","7.27298056225","-56.2019965412","NA","NA","NA","NA","NA"
"141_237","step","NA","NA","NA","NA","96.0897577031","-0.116605468887","-5.35024147228","53.9312109958","76.2062850586"
"142_237","step","NA","NA","NA","NA","121.530281993","-0.18374050676","3.62126667405","-46.4690441409","-23.6461752396"
"143_237","step","NA","NA","NA","NA","142.45588152","-0.177803671875","-6.56677502454","-5.7189161234","23.6614857278"
"144_237","step","NA","NA","NA","NA","111.495472802","-0.121943829617","15.7605021172","34.5744208929","53.9052759313"
"145_237","step","NA","NA","NA","NA","100.015233593","-0.0125174775896","8.30631140672","86.7228224852","107.26237293"
"146_237","step","NA","NA","NA","NA","103.328677107","0.0562299701026","-4.39772954619","10.4969120206","20.5265014306"
"147_237","step","NA","NA","NA","NA","108.701948546","0.0528260803724","-9.63769028973","17.9799491302","32.1780164305"
"138_238","step","NA","NA","NA","NA","12.7057249059","0.00760361415967","3.32311748906","42.7590510119","66.2062948013"
"139_238","step","NA","NA","NA","NA","5.98594166248","0.0049113519989","8.13522859536","46.9969078902","29.8444822114"
"140_238","step","NA","NA","NA","NA","33.4221601283","-0.0179346609545","24.4327292834","-13.8886252178","-24.9672275722"
"141_238","step","NA","NA","NA","NA","64.8430669203","-0.0990656177942","57.0023504759","-9.00856739497","-21.1386160605"
"142_238","gauss","108.799195536","-0.190014529769","0.40016834761","113.838573111","NA","NA","NA","NA","NA"
"143_238","step","NA","NA","NA","NA","143.449741056","-0.221752316081","-83.3008980901","-2.31687393748","-1.96450577298"
"144_238","gauss","145.602204778","-0.152089881852","-1.89104871899","32.2086490219","NA","NA","NA","NA","NA"
"145_238","step","NA","NA","NA","NA","118.718662697","-0.0860078371364","9.27142346137","13.9360994021","49.7224170032"
"146_238","step","NA","NA","NA","NA","118.479801966","-0.00484959832617","-60.4870682071","-3.98789968394","-8.51611233995"
"147_238","step","NA","NA","NA","NA","112.442643192","0.00796300817746","43.7672170951","-46.9728040126","-63.8462738865"
"138_239","step","NA","NA","NA","NA","-6.57436859275","0.0370517638843","6.27025827528","26.3515952907","54.5710871152"
"139_239","step","NA","NA","NA","NA","-12.0966515855","0.0202452052305","10.2983317268","39.0851320484","70.8911352036"
"140_239","step","NA","NA","NA","NA","-15.8350907349","0.0332143083462","9.93050617955","2.64276840453","18.2248320928"
"141_239","step","NA","NA","NA","NA","16.5857378526","-0.035694166876","3.10328161991","33.6672279631","20.0340531487"
"142_239","step","NA","NA","NA","NA","73.1177203289","-0.154236856855","25.7094594498","-22.7451488441","-22.8014400333"
"143_239","step","NA","NA","NA","NA","125.280067775","-0.236128905229","35.1258022289","-32.6656261369","-42.6587653617"
"144_239","step","NA","NA","NA","NA","130.720581552","-0.221523009199","8.75175676823","107.131545442","66.4639742917"
"145_239","gauss","139.073649361","-0.11951290204","-6.61956219064","65.598838986","NA","NA","NA","NA","NA"
"146_239","step","NA","NA","NA","NA","123.058220555","-0.059392260628","4.78659349837","38.9673290527","42.9202936987"
"147_239","gauss","129.477744354","-0.0378783175249","-2.88735608842","12.5256994859","NA","NA","NA","NA","NA"
"138_240","gauss","-8.81005505532","0.0595372533514","2.40106811999","-11.493204023","NA","NA","NA","NA","NA"
"139_240","step","NA","NA","NA","NA","-11.0273415784","0.0603971401926","-29.4397757421","-28.1950724014","-21.1426590795"
"140_240","step","NA","NA","NA","NA","-37.2924353698","0.0756163010963","9.08049563098","36.0326157494","17.4332260289"
"141_240","step","NA","NA","NA","NA","-42.5105298506","0.0531495897009","10.8807114303","32.4981740299","15.7455507654"
"142_240","step","NA","NA","NA","NA","18.3600357374","-0.0652909557364","-12.1957104395","-55.2123031313","-81.0231197262"
"143_240","step","NA","NA","NA","NA","85.1786681631","-0.211589560131","3.84150959648","-37.2830090841","-25.0689917963"
"144_240","step","NA","NA","NA","NA","52.1953815342","-0.260952370929","40.8278245161","0.0785426822244","-17.9679408262"
"145_240","step","NA","NA","NA","NA","137.874305231","-0.184262782694","-94.8490701856","-0.195673104349","-15.4192805631"
"146_240","step","NA","NA","NA","NA","128.794553933","-0.0910947301254","-8.84313951658","-5.07003646734","-16.5915201568"
"147_240","gauss","131.408645514","-0.0634535933216","0.483412527735","-5.20903216834","NA","NA","NA","NA","NA"
