"observacion","c","d","sigma","mu","likelihood"
"138_235","42.737281918","0.00262194708913","-1.69385569711","1.83597099727","-431.496140222"
"139_235","57.1093377909","-0.0314537355287","-8.50404705261","-24.2251244611","-1046.50401744"
"140_235","78.9922469074","-0.0736919659835","4.41320327674","18.2564054936","-2155.2345486"
"141_235","101.548810106","-0.109122217732","-6.15885476696","37.8381627225","-2689.02131492"
"142_235","112.877856761","-0.0970325559644","8.10048471915","74.754345597","-2267.15376252"
"143_235","107.665362315","-0.0351312871639","-1.74496825472","82.0253904116","-4654.49850782"
"144_235","88.4410234975","0.0326500333699","-4.05114112888","72.2139122825","-3347.38375841"
"145_235","77.3828957725","0.0432760007892","1.47959943586","49.5071189489","-2436.11853819"
"146_235","85.44093824","-0.00265649523784","4.03556083305","-29.4427606109","-2441.69919418"
"147_235","98.297701603","-0.0452734653866","3.09641350929","-88.5411224157","-655.335281545"
"138_236","33.935229011","0.00769549534626","5.14139391363","-1.78418499958","-349.131316147"
"139_236","47.3004961483","-0.023561892726","-3.03752736111","18.8448647616","-1248.46143493"
"140_236","71.3572881321","-0.076804497222","-3.02225034583","65.1161164085","-3702.56824855"
"141_236","100.174234507","-0.134175325086","4.35301362779","-82.2815901812","-6566.26398226"
"142_236","122.519493668","-0.151440103202","-1.12437423612","14.5873932059","-3987.94898738"
"143_236","128.899324162","-0.104430585843","-2.3191824654","30.3348699495","-3815.23812291"
"144_236","111.653028363","-0.00979028183289","1.62652612286","46.2083293955","-5386.46888862"
"145_236","88.6701561407","0.0573849883207","-0.952172207174","3.44912587889","-2194.62705084"
"146_236","82.5869100871","0.0532668580842","-5.63894289036","-46.2659596752","-2912.38669178"
"147_236","95.0990648841","-0.00803025865955","-2.27787474525","-47.7250572369","-2984.86642077"
"138_237","25.0250794213","0.0115846610016","0.239551275706","17.8059162867","-597.113270897"
"139_237","36.1773766371","-0.0122978218573","6.31960745952","-18.8981112769","-823.039776204"
"140_237","58.9309041159","-0.064521965828","7.27298056225","-56.2019965412","-2091.51329608"
"141_237","89.6681807858","-0.133951213452","-3.30651700752","-34.6659407068","-4974.46010657"
"142_237","121.638678686","-0.184356065833","6.68696906307","33.5189638389","-4411.64038021"
"143_237","140.861188287","-0.169185502483","4.30146573799","19.2727000728","-3103.84909938"
"144_237","134.555948358","-0.0888474437672","3.86296496551","52.4965805069","-5211.62074983"
"145_237","110.348658781","0.0100928318886","6.26798327496","-26.4716701042","-3080.93203001"
"146_237","94.956165503","0.0531298708432","4.85390940394","-17.5056393467","-2466.78864114"
"147_237","95.1927781979","0.0324816453762","2.38494606075","-55.2592518092","-3196.30926657"
"138_238","15.0447401356","0.0233153204293","-4.07265620065","36.5153233389","-1089.34061177"
"139_238","19.9839070395","0.014614284209","-1.23975464275","-23.7188997283","-1119.25102583"
"140_238","33.336375668","-0.0166711859416","0.124259963032","-17.3104393476","-796.787340352"
"141_238","64.4638545144","-0.0972966256633","11.9713437529","-0.201269532941","-1880.92595638"
"142_238","108.799195536","-0.190014529769","0.40016834761","113.838573111","-3118.31333972"
"143_238","142.364973142","-0.21642039245","1.65341851354","-2.46646802049","-3592.42542573"
"144_238","145.602204778","-0.152089881852","-1.89104871899","32.2086490219","-4359.05071809"
"145_238","131.20588106","-0.0619911999101","6.66533737739","-42.842966952","-3135.58989446"
"146_238","118.060248466","-0.00349433170616","7.82589852783","-26.8838174671","-2599.57637766"
"147_238","112.255179397","0.00909926580514","0.711178286014","-18.7337130367","-3063.72815701"
"138_239","4.27392975836","0.0394109942548","-2.43619752499","62.2571023002","-1517.76684735"
"139_239","2.06518791917","0.0448215825211","-5.62137275031","-31.7733088014","-1699.91790588"
"140_239","1.01085684251","0.0417705845226","5.57811731097","15.1278140016","-1604.70740421"
"141_239","20.690675251","-0.0247943090265","-2.23726947269","90.9076447081","-1011.54212618"
"142_239","72.7901351276","-0.152719699258","-5.29569083595","60.5667951258","-2771.54099313"
"143_239","125.205507784","-0.234527612629","-7.94240590095","53.8912663926","-4161.74343709"
"144_239","143.633371229","-0.202956525084","5.95436762946","-30.9054460071","-4442.00282111"
"145_239","139.073649361","-0.11951290204","-6.61956219064","65.598838986","-3229.31155333"
"146_239","132.561508465","-0.0592923574197","-10.0293489716","37.1945642126","-1872.81008661"
"147_239","129.477744354","-0.0378783175249","-2.88735608842","12.5256994859","-1390.582146"
"138_240","-8.81005505532","0.0595372533514","2.40106811999","-11.493204023","-1206.08403355"
"139_240","-10.4113607664","0.0576655363691","0.839585341386","33.4631335903","-1055.57050557"
"140_240","-20.1587427766","0.075786473778","-1.74887211662","9.23230612114","-1629.60194593"
"141_240","-21.6909960707","0.0586662300987","-2.52641130035","-2.87806649937","-851.193186398"
"142_240","18.5696378472","-0.0663531673103","0.844313966847","-61.4134809771","-1767.89743894"
"143_240","85.2951195961","-0.211501944021","4.57275847396","53.0376682614","-2964.08895545"
"144_240","125.584742586","-0.23753622139","1.82614639948","-47.742833828","-3475.50786858"
"145_240","131.363462369","-0.16417520277","12.157001842","-55.3366700642","-3148.76101463"
"146_240","128.614778134","-0.0907330898296","-1.63678365423","-23.0479531086","-3524.97969904"
"147_240","131.408645514","-0.0634535933216","0.483412527735","-5.20903216834","-1598.1737964"
"138_241","-16.8039903209","0.0668436676017","6.54400713609","-13.0427864121","-678.676296983"
"139_241","-16.9658442865","0.064590047739","1.57703320964","51.0605513226","-813.757831129"
"140_241","-24.3432147816","0.0811816948027","7.81818196176","33.0630068548","-1759.93696291"
"141_241","-35.2787257816","0.0884720076474","6.50401760596","-56.4869855969","-2237.0456524"
"142_241","-18.0201551815","0.00318307121058","-0.722002892665","-20.7269001285","-2056.01575757"
"143_241","37.9587204859","-0.146399754304","6.30468435499","-25.4178729635","-1958.50032718"
"144_241","91.558033136","-0.22240720408","-2.15633562287","49.1626851916","-3349.43948506"
"145_241","109.084521662","-0.169627459835","-0.3207198485","-69.7352991098","-2163.53668062"
"146_241","109.079431962","-0.0921884920124","2.37353591436","-39.5755873138","-2104.17295514"
"147_241","115.307200437","-0.0638459006798","-0.895547566624","-46.7949170901","-3454.94545226"
"138_242","-11.4453060323","0.0444670634523","-0.236675279479","-27.7055546711","-465.180604027"
"139_242","-12.1673243696","0.049065240494","-0.893106412895","61.0266451193","-820.722541402"
"140_242","-18.3421260561","0.066763909647","0.136208717082","-17.416161261","-2456.18235785"
"141_242","-32.2885964116","0.0853266339236","3.55045967563","30.4465374899","-5194.53325719"
"142_242","-36.9532767305","0.0484076960471","0.413141802597","40.4309004098","-5181.7063483"
"143_242","-4.27969237437","-0.0707395356857","5.90717779872","4.20186756837","-2381.5777684"
"144_242","47.969296039","-0.162840842418","3.71878770326","-4.97846008572","-3904.00101243"
"145_242","81.9639226213","-0.153343421897","-0.43401258578","10.7247753159","-4576.74045604"
"146_242","87.8781454283","-0.0804090137945","1.62738131165","-32.4939596787","-1075.8546264"
"147_242","90.7763259647","-0.0365260702604","-0.451469336261","5.15410018471","-1489.55100042"
"138_243","-5.93036111034","0.0260475320013","10.0508937695","35.0738999541","-374.109056749"
"139_243","-6.10600993626","0.0327969669894","1.483893476","10.2209023207","-452.027822232"
"140_243","-10.8596788702","0.0464023711404","-3.74199076205","66.0857147125","-1292.45299837"
"141_243","-22.5370058435","0.0665518594397","0.698346965776","9.81909428226","-3981.68587648"
"142_243","-35.7229110486","0.0601935301026","-1.18242939863","25.6664349088","-4596.78391656"
"143_243","-30.1902576122","-0.00447628436294","7.123511459","54.4752794028","-1854.41811496"
"144_243","2.47137125872","-0.0787582395019","11.6480717507","-64.6539871244","-1470.86289808"
"145_243","43.2802426437","-0.10203486486","-1.71851824099","-35.726467668","-3632.73714104"
"146_243","66.2807109366","-0.0661970792537","-1.58289347302","0.36504705277","-2443.05567255"
"147_243","71.4258518934","-0.0174575852939","-1.38313517651","2.37308367404","-701.256824263"
"138_244","-3.57336187696","0.0185054053516","2.12584527338","-40.1216696832","-475.919913589"
"139_244","-3.56390234501","0.0280997917405","-0.222992536271","-57.8925404194","-582.380808746"
"140_244","-5.17873817145","0.0365122041303","-1.12117474024","-15.7247562154","-853.701534512"
"141_244","-11.938662753","0.0495445951247","13.6741936113","77.3080083296","-1855.59282699"
"142_244","-23.4051965843","0.0532533525923","-2.35306960201","-33.5182078967","-2892.2728803"
"143_244","-33.0604513795","0.0341478008461","4.77667374948","34.3032732881","-2143.4867264"
"144_244","-25.3612651441","-0.00185590807261","6.87834790294","78.0590815774","-1325.24341643"
"145_244","4.28049183702","-0.0320807388564","-0.961628517602","19.6487576945","-2143.49337331"
"146_244","37.469515105","-0.0386915123888","0.96582723094","-41.7478289968","-2385.76074745"
"147_244","55.2669177482","-0.0190022642482","3.61485291023","28.4661980649","-1300.61793328"
